"species","BEs"
"Adenomera cotuba*",0
"Adenomera saci",26
"Akodon kadiweu",19
"Akodon lindberghi",0
"Alectrurus tricolor",4
"Alipiopsitta xanthops",2
"Allobates brunneus",6
"Allobates goianus",9
"Alopoglossus collii*",27
"Ameerega berohoka",0
"Ameerega braccata",6
"Ameerega flavopicta",0
"Ameerega picta",19
"Ameiva jacuba",12
"Ameiva parecis",25
"Ameivula cipoensis*",1
"Ameivula jalapensis",0
"Ameivula mumbuca",0
"Ameivula xacriaba*",16
"Amphisbaena absaberi",10
"Amphisbaena acrobeles",18
"Amphisbaena anaemariae",0
"Amphisbaena bedai",0
"Amphisbaena brevis",6
"Amphisbaena carli",7
"Amphisbaena crisae",0
"Amphisbaena cuiabana",0
"Amphisbaena filiformis*",20
"Amphisbaena kraoh",17
"Amphisbaena leeseri",0
"Amphisbaena maranhensis",0
"Amphisbaena mebengokre*",0
"Amphisbaena neglecta",6
"Amphisbaena persephone*",7
"Amphisbaena sanctaeritae",0
"Amphisbaena saxosa",17
"Amphisbaena silvestrii",0
"Amphisbaena steindachneri",0
"Amphisbaena talisiae",0
"Anolis meridionalis",0
"Antilophia galeata",2
"Aplastodiscus lutzorum*",3
"Apostolepis adhara*",0
"Apostolepis albicollaris",9
"Apostolepis assimilis*",4
"Apostolepis barrioi*",0
"Apostolepis cerradoensis",5
"Apostolepis christineae",10
"Apostolepis flavotorquata",0
"Apostolepis goiasensis",0
"Apostolepis intermedia",0
"Apostolepis kikoi*",0
"Apostolepis lineata",6
"Apostolepis longicaudata",0
"Apostolepis nelsonjorgei",0
"Apostolepis phillipsae*",0
"Apostolepis polylepis",0
"Apostolepis sanctaeritae*",0
"Apostolepis serrana",0
"Apostolepis striata",25
"Apostolepis tertulianobeui*",0
"Apostolepis vittata",0
"Arremon flavirostris",4
"Asthenes luizae",1
"Atractus albuquerquei",0
"Atractus edioi",5
"Atractus pantostictus*",0
"Atractus spinalis",1
"Atractus stygius*",0
"Augastes scutatus",1
"Bachia bresslaui",0
"Bachia cacerensis",0
"Bachia didactyla",25
"Bachia geralista",16
"Bachia micromela",0
"Bachia oxyrhina",18
"Bachia psamophila",17
"Barycholos ternetzi",22
"Boana botumirim",0
"Boana buriti",3
"Boana caiapo*",28
"Boana cipoensis",1
"Boana ericae",5
"Boana goiana",3
"Boana jaguariaivensis",24
"Boana lundii",13
"Boana stenocephala",8
"Bokermannohyla alvarengai",1
"Bokermannohyla ibitiguara",8
"Bokermannohyla izecksohni*",0
"Bokermannohyla nanuzae",1
"Bokermannohyla napolii",21
"Bokermannohyla pseudopseudis",5
"Bokermannohyla ravida",0
"Bokermannohyla sagarana",1
"Bokermannohyla sapiranga",3
"Bokermannohyla saxicola",1
"Bokermannohyla sazimai",21
"Bothrops itapetiningae",14
"Bothrops marmoratus",22
"Bothrops moojeni",2
"Bothrops pauloensis",4
"Calassomys apicalis",1
"Callithrix penicillata",0
"Calomys tocantinsi",15
"Carterodon sulcidens",0
"Celeus obrieni",26
"Cercomacra ferdinandi",0
"Cerradomys akroai",0
"Cerradomys marinhus",0
"Cerradomys scotti",0
"Charitospiza eucosma",2
"Chiasmocleis albopunctata",2
"Chiasmocleis centralis",0
"Chironius brazili*",0
"Cinclodes espinhacensis",1
"Clibanornis rectirostris",4
"Clyomys laticeps",0
"Coleodactylus brachystoma",0
"Colobosaura modesta",29
"Columbina cyanopis",0
"Conothraupis mesoleuca",0
"Coryphaspiza melanotis",13
"Crossodactylus franciscanus*",0
"Crossodactylus trachystomus",1
"Ctenomys bicolor",0
"Ctenomys nattereri",27
"Cyanocorax cristatellus",2
"Dendropsophus anataliasiasi",28
"Dendropsophus araguaya",12
"Dendropsophus cerradensis",0
"Dendropsophus cruzi",0
"Dendropsophus elianeae",4
"Dendropsophus jimi",0
"Dendropsophus rhea",0
"Dendropsophus rubicundulus",0
"Dendropsophus tritaeniatus",0
"Drymoluber brazili",0
"Elachistocleis bumbameuboi",0
"Elachistocleis matogrosso",23
"Embernagra longicauda",1
"Enyalius capetinga*",3
"Epicrates crassus",2
"Epictia clinorostris*",0
"Erythrolamprus maryellenae",0
"Eurolophosaurus nanuzae",1
"Euryoryzomys lamia",9
"Euscarthmus rufomarginatus",0
"Galea flavidens",0
"Geositta poeciloptera",0
"Gyldenstolpia planaltensis",0
"Gymnodactylus amarali",0
"Gymnodactylus guttulatus",1
"Helicops boitata*",10
"Helicops gomesi*",14
"Helicops phantasma*",0
"Herpsilochmus longirostris",2
"Heterodactylus lundii",0
"Holochilus sciureus",0
"Hoplocercus spinosus",0
"Hydropsalis candicans",0
"Hylaeamys acritus",11
"Hylodes otavioi",1
"Ischnocnema penaxavantinho",0
"Juscelinomys candango",3
"Juscelinomys huanchacae",11
"Kentropyx paulensis",0
"Kentropyx vanzoi",0
"Kerodon acrobata",0
"Knipolegus franciscanus",0
"Kunsia tomentosus",0
"Laterallus xenopterus",0
"Leposternon cerradensis",0
"Leposternon maximus",7
"Leposternon mineiro*",0
"Leptodactylus brevipes*",0
"Leptodactylus camaquara",1
"Leptodactylus cunicularius",0
"Leptodactylus furnarius",0
"Leptodactylus kilombo*",0
"Leptodactylus pustulatus",28
"Leptodactylus sertanejo",0
"Leptodactylus tapiti",5
"Liotyphlops schubarti",0
"Liotyphlops taylori*",10
"Lonchophylla bokermanni",1
"Lonchophylla dekeyseri",0
"Lycalopex vetulus",2
"Lygophis paucidens",0
"Lysapsus caraya",15
"Manciola guaporicola",0
"Melanopareia torquata",2
"Micrablepharus atticolus",0
"Microakodontomys transitorius",3
"Micrurus brasiliensis",0
"Micrurus tricolor",23
"Monodelphis kunsi",0
"Monodelphis sanctaerosae",6
"Myiothlypis leucophrys",2
"Neothraupis fasciata",2
"Nothura minor",4
"Nyctiprogne vielliardi",0
"Nystalus striatipectus",0
"Odontophrynus cultripes",0
"Odontophrynus juquinha*",1
"Odontophrynus monachus",8
"Oecomys cleberi",0
"Oligoryzomys moojeni",0
"Oligoryzomys rupestris",0
"Oreobates antrum*",7
"Oreobates heterodactylus",10
"Oreobates remotus",0
"Oxymycterus delator",0
"Oxymycterus itapeby",24
"Paroaria baeri",15
"Penelope ochrogaster",0
"Phaethornis nattereri",0
"Phalotris cerradensis*",7
"Phalotris concolor",0
"Phalotris labiomaculatus",20
"Phalotris lativittatus",14
"Phalotris matogrossensis",0
"Phalotris mertensi",14
"Phalotris multipunctatus",0
"Phalotris nasutus",0
"Phasmahyla jandaia",1
"Philodryas livida",0
"Philodryas mattogrossensis",0
"Phyllomyias reiseri",0
"Phyllomys brasiliensis",1
"Phyllomys centralis",0
"Phylloscartes roquettei",0
"Physalaemus atim*",3
"Physalaemus centralis",2
"Physalaemus claptoni*",1
"Physalaemus deimaticus",1
"Physalaemus evangelistai",1
"Physalaemus marmoratus",0
"Physalaemus nattereri",2
"Pithecopus araguaius*",0
"Pithecopus ayeaye",0
"Pithecopus azureus",29
"Pithecopus centralis",0
"Pithecopus megacephalus",1
"Pithecopus oreades",9
"Placosoma cipoense",1
"Polystictus superciliaris",1
"Poospiza cinerea",13
"Porphyrospiza caerulescens",2
"Pristimantis dundeei",0
"Pristimantis moa*",20
"Pristimantis ventrigranulosus",12
"Proceratophrys bagnoi",5
"Proceratophrys branti",0
"Proceratophrys carranca",0
"Proceratophrys cururu",1
"Proceratophrys dibernardoi",0
"Proceratophrys goyana",9
"Proceratophrys huntingtoni",6
"Proceratophrys moratoi",0
"Proceratophrys rotundipalpebra",5
"Proceratophrys salvatori",3
"Proceratophrys strussmannae",0
"Proceratophrys vielliardi",3
"Pseudis tocantins",26
"Pseudopaludicola atragula*",0
"Pseudopaludicola coracoralinae*",0
"Pseudopaludicola facureae*",0
"Pseudopaludicola ibisoroca*",12
"Pseudopaludicola jazmynmcdonaldae*",0
"Pseudopaludicola mineira*",1
"Pseudopaludicola ternetzi*",0
"Psilops seductus*",7
"Pyrrhura pfrimeri",0
"Rhachidelus brazili",4
"Rhachisaurus brachylepis",1
"Rhinella cerradensis",0
"Rhinella inopina",16
"Rhinella ocellata",0
"Rhinella rubescens",13
"Rhinella scitula",19
"Rhinella sebbeni*",9
"Rhinella veredas",0
"Rhipidomys ipukensis",0
"Rhipidomys macrurus",0
"Saltatricula atricollis",2
"Salvator duseni",0
"Scinax cabralensis",1
"Scinax canastrensis",8
"Scinax centralis",3
"Scinax constrictus",0
"Scinax curicica",1
"Scinax goya*",7
"Scinax haddadorum*",0
"Scinax machadoi",1
"Scinax maracaya",0
"Scinax pinimus",1
"Scinax pombali",8
"Scinax rogerioi",0
"Scinax rossaferesae*",24
"Scinax rupestris*",5
"Scinax skaios",3
"Scinax tigrinus",3
"Scytalopus novacapitalis",21
"Siagonodon acutirostris",18
"Simophis rhinostoma",4
"Sporophila nigrorufa",11
"Stenocercus albolineatus*",27
"Stenocercus canastra*",8
"Stenocercus quinarius",16
"Stenocercus sinesaccus",0
"Suiriri affinis",2
"Synallaxis simoni",15
"Syndactyla dimidiata",0
"Taoniscus nanus",0
"Thalpomys cerradensis",0
"Thalpomys lasiotis",0
"Thamnodynastes rutilus",0
"Thoropa megatympanum",1
"Thrichomys apereoides",0
"Thrichomys pachyurus",0
"Thylamys velutinus",0
"Trachycephalus mambaiensis",0
"Trilepida brasiliensis",0
"Trilepida fuliginosa",22
"Trilepida jani",1
"Trilepida koppesi",0
"Trinomys moojeni",1
"Tropidophis preciosus",1
"Tropidurus callathelys",11
"Tropidurus chromatops",11
"Tropidurus itambere",4
"Tropidurus montanus",1
"Tropidurus oreadicus",29
"Tupinambis matipu*",0
"Tupinambis quadrilineatus",0
"Uropelia campestris",0
"Vanzosaura savanicola*",0
"Xenodon matogrossensis",23
"Xenodon nattereri",0
